Annotation ID,User ID,Task,Scene,Preposition,Figure,Ground,Cam Location,Cam Rotation,Time
0821c204-7c5f-4394-b9c0-832d1019d28f,1,sfg,scene1-sfg,above,lamp.001,table,"<Vector (-4.0504, -1.5658, 1.9901)>","<Matrix 3x3 ( 0.6951, 0.2532, -0.6728)
            (-0.7189, 0.2449, -0.6506)
            (-0.0000, 0.9359,  0.3523)>",126.262489318848
84c6529c-9835-42bf-b1f3-b7c5684f4a98,1,sfg,scene1-sfg,above,plate,table,"<Vector (-4.0504, -1.5658, 1.9901)>","<Matrix 3x3 ( 0.6370, 0.2446, -0.7310)
            (-0.7708, 0.2021, -0.6041)
            (-0.0000, 0.9484,  0.3173)>",133.111618041992
f44b6844-45cb-4400-8410-0e8700810046,1,sfg,scene1-sfg,above,mug,table,"<Vector (-4.0504, -1.5658, 1.9901)>","<Matrix 3x3 ( 0.6339, 0.2328, -0.7375)
            (-0.7734, 0.1908, -0.6045)
            (-0.0000, 0.9537,  0.3010)>",138.476974487305
1f5a7e38-9cb7-4936-b256-7acae6855945,1,sfg,scene1-sfg,above,Pencil,cup,"<Vector (-4.0504, -1.5658, 1.9901)>","<Matrix 3x3 ( 0.6553, 0.2294, -0.7197)
            (-0.7553, 0.1990, -0.6244)
            (-0.0000, 0.9528,  0.3037)>",160.788192749023
d31bbdd3-cbf8-4006-8567-352f49551013,1,sfg,scene1-sfg,above,apple.001,plate,"<Vector (-4.0504, -1.5658, 1.9901)>","<Matrix 3x3 ( 0.6057, 0.2089, -0.7678)
            (-0.7957, 0.1590, -0.5844)
            (-0.0000, 0.9649,  0.2626)>",165.753646850586
2a8f96c9-9bff-4c5d-b5cd-71f9732959e9,1,sfg,scene1-sfg,above,Pencil.003,book,"<Vector (-4.0504, -1.5658, 1.9901)>","<Matrix 3x3 ( 0.5401, 0.2117, -0.8145)
            (-0.8416, 0.1359, -0.5228)
            (-0.0000, 0.9679,  0.2515)>",171.385604858398
a2b80c73-e656-47e1-bf3d-aed392ccf5f5,1,sfg,scene1-sfg,above,Pencil.005,table,"<Vector (-4.0504, -1.5658, 1.9901)>","<Matrix 3x3 ( 0.4852, 0.2078, -0.8493)
            (-0.8744, 0.1153, -0.4713)
            (-0.0000, 0.9714,  0.2377)>",179.966842651367
c7df45c4-9820-41e8-a3ea-bf74ca445c47,1,sfg,scene1-sfg,above,chair,Floor,"<Vector (-4.0504, -1.5658, 1.9901)>","<Matrix 3x3 ( 0.0765, 0.3459, -0.9352)
            (-0.9971, 0.0266, -0.0718)
            (-0.0000, 0.9379,  0.3469)>",183.116073608398
6b8792ec-9be8-4abe-a75b-6da85ea21342,1,sfg,scene1-sfg,above,chair.001,Floor,"<Vector (-4.0504, -1.5658, 1.9901)>","<Matrix 3x3 ( 0.7800, 0.3504, -0.5185)
            (-0.6258, 0.4367, -0.6463)
            (-0.0000, 0.8286,  0.5599)>",185.582138061523
3485d6a1-a45b-4643-880a-66e7fe94169b,1,sfg,scene1-sfg,above,bowl_001,table,"<Vector (-4.0504, -1.5658, 1.9901)>","<Matrix 3x3 ( 0.6447, 0.2301, -0.7290)
            (-0.7644, 0.1940, -0.6148)
            (-0.0000, 0.9537,  0.3009)>",192.680404663086
aec8a8ff-afa8-4978-bc54-5ea47c108627,1,sfg,scene1-sfg,above,guitar,Floor,"<Vector (-4.4914, -3.0373, 2.7016)>","<Matrix 3x3 ( 0.8514, 0.2899, -0.4371)
            (-0.5245, 0.4706, -0.7095)
            (-0.0000, 0.8334,  0.5528)>",202.194747924805
c5426e3b-1058-48be-8a80-98e2e33df831,1,sfg,scene1-sfg,above,chest,Floor,"<Vector (-3.4422, 0.1788, 1.5322)>","<Matrix 3x3 ( 0.9928, 0.0563, -0.1059)
            (-0.1199, 0.4659, -0.8767)
            (-0.0000, 0.8830,  0.4693)>",213.358688354492
227ddd4f-7835-474f-953e-d22449bebbb1,1,sfg,scene1-sfg,above,chair.002,Floor,"<Vector (-3.4422, 0.1788, 1.5322)>","<Matrix 3x3 ( 0.9985, 0.0209, -0.0499)
            (-0.0541, 0.3862, -0.9208)
            (-0.0000, 0.9222,  0.3868)>",215.574813842773
7e3b6263-8f3f-4e5f-b6ff-aa795c0f9d31,1,sfg,scene1-sfg,above,bin,Floor,"<Vector (-3.4422, 0.1788, 1.5322)>","<Matrix 3x3 ( 0.9838, 0.0679, -0.1658)
            (-0.1792, 0.3727, -0.9105)
            (-0.0000, 0.9255,  0.3788)>",218.090866088867
a0310638-bc68-4ced-aa7a-0e4e4367ceae,1,sfg,scene1-sfg,above,lamp,Table,"<Vector (-3.4422, 0.1788, 1.5322)>","<Matrix 3x3 ( 0.9146, 0.0826, -0.3957)
            (-0.4043, 0.1868, -0.8954)
            (-0.0000, 0.9789,  0.2042)>",221.123458862305
ac9de9e8-3353-489c-b1b2-3f889f47b1a2,1,sfg,scene1-sfg,above,box.003,Table,"<Vector (-3.4422, 0.1788, 1.5322)>","<Matrix 3x3 ( 0.9130, 0.0833, -0.3993)
            (-0.4079, 0.1865, -0.8938)
            (-0.0000, 0.9789,  0.2042)>",223.222946166992
c013d06d-54e3-49a0-b6ee-59b7836071eb,1,sfg,scene1-sfg,above,box.001,Floor,"<Vector (-3.4422, 0.1788, 1.5322)>","<Matrix 3x3 ( 0.9593, 0.0956, -0.2656)
            (-0.2823, 0.3251, -0.9026)
            (-0.0000, 0.9409,  0.3388)>",225.18913269043
5181bc4f-7831-4aa3-9c8a-cdc65bdee850,1,sfg,scene1-sfg,above,chair.003,Floor,"<Vector (0.2966, -0.4270, 1.4008)>","<Matrix 3x3 ( 0.9968, -0.0203,  0.0771)
            ( 0.0797,  0.2535, -0.9641)
            (-0.0000,  0.9672,  0.2543)>",241.301864624023
609a1194-1158-4f76-bc40-312b644570c7,1,sfg,scene1-sfg,above,Robot,Floor,"<Vector (0.2966, -0.4270, 1.4008)>","<Matrix 3x3 ( 0.9632, 0.0639, -0.2611)
            (-0.2688, 0.2289, -0.9356)
            (-0.0000, 0.9714,  0.2377)>",243.98454284668
